empid,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,left
1964,0.09,0.89,7,310,4,0,0,low,1
1965,0.88,0.86,5,258,5,0,0,low,1
1966,0.84,0.94,5,262,5,0,0,low,1
1967,0.1,0.98,6,265,4,0,0,low,1
1968,0.41,0.47,2,143,3,1,0,low,1
1969,0.84,0.91,5,232,6,0,0,low,1
1970,0.41,0.55,2,161,3,0,0,low,1
1971,0.53,0.76,5,132,6,0,0,low,1
1972,0.42,0.47,2,139,3,1,0,medium,1
1973,0.36,0.5,2,131,3,0,0,medium,1
1974,0.38,0.52,2,161,3,0,0,medium,1
1975,0.36,0.48,2,152,3,0,0,medium,1
1976,0.46,0.54,2,138,3,0,0,medium,1
1977,0.37,0.47,2,159,3,1,0,medium,1
1978,0.42,0.49,2,153,3,0,0,medium,1
1979,0.44,0.56,2,156,3,0,0,medium,1
1980,0.92,0.82,5,265,5,0,0,medium,1
1981,0.1,0.79,6,301,5,0,0,medium,1
1982,0.76,1,4,220,6,0,0,medium,1
1983,0.11,0.79,6,247,4,0,0,medium,1
1984,0.43,0.48,2,136,3,0,0,high,1
1985,0.4,0.49,2,160,3,0,0,low,1
1986,0.11,0.84,7,310,4,0,0,medium,1
1987,0.84,0.82,5,240,5,0,0,medium,1
1988,0.84,0.84,5,238,5,0,0,medium,1
1989,0.51,0.6,7,243,5,0,0,medium,1
1990,0.66,0.91,5,248,4,0,0,low,1
1991,0.42,0.56,2,137,3,0,0,low,1
1992,0.38,0.49,2,155,3,0,0,low,1
1993,0.15,0.63,7,229,3,0,0,low,1
1994,0.38,0.53,2,140,3,0,0,low,1
1995,0.43,0.54,2,156,3,0,0,low,1
1996,0.37,0.57,2,147,3,0,0,low,1
1997,0.11,0.92,7,293,4,0,0,low,1
1998,0.41,0.53,2,157,3,0,0,low,1
1999,0.84,0.96,4,247,5,0,0,low,1
2000,0.4,0.51,2,148,3,0,0,low,1
2001,0.58,0.74,4,215,3,0,0,low,0
2002,0.82,0.67,2,202,3,0,0,low,0
2003,0.45,0.69,5,193,3,0,0,low,0
2004,0.78,0.82,5,247,3,0,0,low,0
2005,0.49,0.6,3,214,2,0,0,low,0
2006,0.36,0.95,3,206,4,0,0,low,0
2007,0.54,0.37,2,176,2,0,0,low,0
2008,0.99,0.91,5,136,4,0,0,low,0
2009,0.5,0.75,6,127,3,0,0,low,0
2010,0.74,0.64,4,268,3,0,0,low,0
2011,0.56,0.58,4,258,3,0,0,medium,0
2012,0.34,0.39,2,136,3,0,0,medium,0
2013,0.48,0.94,5,255,6,0,0,medium,0
2014,0.73,0.62,3,218,3,0,0,medium,0
2015,0.59,0.87,3,268,4,0,0,medium,0
2016,0.81,0.57,3,224,2,0,0,medium,0
2017,0.9,0.66,3,231,3,0,0,medium,0
2018,0.41,0.84,6,191,6,0,0,medium,0
2019,0.89,0.92,4,165,5,0,0,medium,0
2020,0.48,0.84,4,252,3,0,0,medium,0
2021,0.79,0.97,5,266,2,0,0,medium,0
2022,0.98,0.66,5,248,3,0,0,medium,0
2023,0.75,0.7,4,144,4,0,0,high,0
2024,1,0.41,4,174,3,0,0,low,0
2025,0.24,0.82,5,179,6,0,0,medium,0
2026,0.84,0.43,6,246,4,0,0,medium,0
2027,0.56,0.86,4,201,3,1,0,medium,0
2028,0.92,0.93,4,208,3,0,0,medium,0
2029,0.61,0.98,3,267,3,0,0,low,0
2030,0.84,0.77,4,262,4,0,0,low,0
2031,0.85,0.59,3,235,3,0,0,low,0
2032,0.67,0.57,2,160,4,0,0,low,0
2033,0.54,0.94,4,267,4,0,0,low,0
2034,0.75,0.56,5,175,4,0,0,low,0
2035,0.82,0.79,4,224,2,0,0,low,0
2036,0.76,0.6,4,177,2,0,0,low,0
2037,0.19,0.53,6,191,4,0,0,low,0
2038,0.61,0.41,3,138,3,0,0,low,0
2039,0.51,0.8,3,218,2,1,0,low,0
2040,0.52,0.88,3,179,2,1,0,low,0
2041,0.74,0.58,3,241,3,0,0,low,0
2042,0.98,0.91,4,240,3,0,0,low,0
2043,0.71,0.92,3,202,4,0,0,low,0
2044,0.33,0.88,6,260,3,0,0,low,0
2045,0.98,0.97,3,196,3,0,0,low,0
2046,0.52,0.59,2,176,3,1,0,low,0
2047,0.84,0.65,2,140,3,0,0,low,0
2048,0.87,0.5,3,242,2,0,0,low,0
2049,0.48,0.85,3,279,4,0,0,low,0
2050,0.58,0.55,4,202,3,0,0,medium,0
2051,0.58,0.84,5,228,3,0,0,medium,0
2052,0.73,0.69,4,171,3,0,0,medium,0
2053,0.68,0.54,4,153,3,0,0,medium,0
2054,0.41,0.68,3,165,3,1,0,medium,0
2055,0.85,0.6,3,182,3,0,0,medium,0
2056,0.54,0.7,5,239,5,0,0,medium,0
2057,0.81,0.61,5,231,2,0,0,medium,0
2058,0.7,0.52,4,255,3,0,0,medium,0
2059,0.63,0.66,4,237,2,1,0,medium,0
2060,0.68,0.54,3,251,2,0,0,medium,0
2061,0.7,0.53,4,178,2,0,0,medium,0
2062,0.82,0.65,4,148,3,0,0,high,0
2063,0.72,0.94,4,240,4,0,0,low,0
2064,0.77,0.78,3,269,3,0,0,medium,0
2065,0.86,0.91,4,147,3,0,0,medium,0
2066,0.15,0.97,3,198,5,0,0,medium,0
2067,0.81,0.99,5,143,3,0,0,medium,0
2068,0.93,0.98,3,238,2,0,0,low,0
2069,0.62,0.74,4,213,4,0,0,low,0
2070,0.53,0.81,3,226,3,1,0,low,0
2071,0.86,0.99,3,169,2,1,0,low,0
2072,0.92,0.65,4,238,2,0,0,low,0
2073,0.97,0.83,4,202,3,0,0,low,0
2074,0.39,0.78,2,205,6,1,0,low,0
2075,0.45,0.66,3,111,4,0,0,low,0
2076,0.41,0.47,4,104,3,0,0,low,0
2077,0.51,0.69,3,212,3,0,0,low,0
2078,0.74,0.62,4,236,4,0,0,low,0
2079,0.69,0.57,5,245,2,1,0,low,0
2080,0.84,0.64,4,267,4,0,0,low,0
2081,0.69,0.66,5,106,5,0,0,low,0
2082,0.93,0.53,5,198,3,0,0,low,0
2083,0.33,0.45,6,239,3,0,0,low,0
2084,0.25,0.65,5,220,3,0,0,low,0
2085,0.63,0.59,5,224,3,0,0,low,0
2086,0.81,0.62,3,100,3,0,0,low,0
2087,0.12,0.87,4,244,5,0,0,low,0
2088,0.52,0.66,4,139,3,0,0,low,0
2089,0.57,0.51,2,152,2,0,0,medium,0
2090,0.84,0.58,4,208,3,0,0,medium,0
2091,0.6,0.95,5,205,3,0,0,medium,0
2092,0.73,0.44,2,194,6,0,0,medium,0
2093,0.2,0.58,3,209,5,0,0,medium,0
2094,0.58,0.9,3,212,3,0,0,medium,0
2095,0.48,0.56,2,151,3,0,0,medium,0
2096,0.54,0.67,4,282,6,0,0,medium,0
2097,0.86,1,4,256,3,0,0,medium,0
2098,0.94,0.83,2,185,3,1,0,medium,0
2099,0.76,0.74,5,132,3,0,0,medium,0
2100,0.61,0.95,5,233,3,0,0,medium,0
2101,0.56,0.94,4,215,2,0,0,high,0
2102,1,0.74,3,220,4,0,0,low,0
2103,0.15,0.53,6,222,3,0,0,medium,0
2104,0.19,0.58,5,182,2,0,0,medium,0
2105,0.17,0.73,5,258,4,0,0,medium,0
2106,0.71,0.57,3,209,2,0,0,medium,0
2107,0.86,0.79,3,242,2,0,0,low,0
2108,0.59,0.88,4,155,3,1,0,low,0
2109,0.74,0.76,5,104,4,0,0,low,0
2110,0.98,0.92,4,201,3,1,0,low,0
2111,0.93,0.75,5,143,3,0,0,low,0
2112,1,0.92,5,161,3,1,0,low,0
2113,0.59,0.81,4,200,2,0,0,low,0
2114,0.98,0.55,4,255,2,0,0,low,0
2115,0.35,0.5,5,227,2,0,0,low,0
2116,0.42,0.96,3,270,6,0,0,low,0
2117,0.61,0.85,5,230,3,0,0,low,0
2118,0.78,0.72,5,270,3,1,0,low,0
2119,0.93,0.52,4,200,3,0,0,low,0
2120,0.5,0.95,5,207,3,0,0,low,0
2121,0.67,0.51,5,182,3,0,0,low,0
2122,0.75,0.85,4,234,3,0,0,low,0
2123,0.79,0.51,4,237,2,0,0,low,0
2124,0.84,0.89,4,187,2,1,0,low,0
2125,0.72,0.5,3,257,6,0,0,low,0
2126,0.57,0.48,2,194,2,0,0,low,0
2127,0.73,0.52,4,162,3,0,0,low,0
2128,0.74,0.58,4,148,2,0,0,medium,0
2129,0.52,0.83,4,210,2,0,0,medium,0
2130,0.56,0.76,3,213,2,1,0,medium,0
2131,0.76,0.68,4,189,2,1,0,medium,0
2132,0.82,0.93,4,185,2,0,0,medium,0
2133,0.76,0.83,3,186,2,1,0,medium,0
2134,0.62,0.59,3,128,3,0,0,medium,0
2135,0.48,0.8,4,268,3,0,0,medium,0
2136,0.64,0.77,3,213,3,1,0,medium,0
2137,0.74,0.82,4,142,2,0,0,medium,0
2138,0.52,0.43,2,199,2,0,0,medium,0
2139,0.67,0.5,4,157,2,0,0,medium,0
2140,0.71,0.76,5,172,2,1,0,high,0
2141,0.72,0.63,3,176,3,1,0,low,0
2142,0.33,0.58,2,183,2,0,0,medium,0
2143,0.91,0.56,4,270,2,0,0,medium,0
2144,0.88,0.68,5,157,4,1,0,medium,0
2145,0.96,0.6,4,185,3,0,0,medium,0
2146,0.97,0.68,3,167,3,0,0,low,0
2147,0.27,0.59,5,226,5,0,0,low,0
2148,0.65,0.64,3,223,4,0,0,low,0
2149,0.68,0.73,3,257,3,0,0,low,0
2150,0.68,0.46,4,143,3,0,0,low,0
2151,0.69,0.74,3,215,2,0,0,low,0
2152,0.79,0.99,3,194,4,0,0,low,0
2153,0.74,0.92,5,193,3,0,0,low,0
2154,0.8,0.83,3,163,3,0,0,low,0
2155,0.38,0.94,5,252,5,0,0,low,0
2156,0.26,0.83,3,168,3,0,0,low,0
2157,0.81,0.86,3,231,3,0,0,low,0
2158,0.67,0.54,2,141,2,0,0,low,0
2159,0.55,0.81,4,260,2,0,0,low,0
2160,0.87,0.71,3,132,2,0,0,low,0
2161,0.46,0.69,2,159,2,0,0,low,0
2162,0.63,0.57,4,177,3,1,0,low,0
2163,0.54,0.96,4,248,3,0,0,low,0
2164,1,0.49,3,185,2,0,0,low,0
2165,0.97,0.66,4,149,2,0,0,low,0
2166,0.9,0.92,3,152,3,0,0,low,0
2167,0.75,0.7,3,129,3,0,0,medium,0
2168,0.92,0.84,4,208,2,0,0,medium,0
2169,0.8,0.94,4,136,2,0,0,medium,0
2170,0.57,0.81,3,142,2,0,0,medium,0
2171,0.81,0.94,3,225,4,0,0,medium,0
2172,0.64,0.6,3,143,3,0,0,medium,0
2173,0.71,0.54,4,215,3,0,0,medium,0
2174,0.35,0.58,3,229,6,1,0,medium,0
2175,0.88,0.81,5,193,5,0,0,medium,0
2176,0.13,0.59,5,160,5,0,0,medium,0
2177,0.82,0.73,4,195,5,1,0,medium,0
2178,0.17,0.92,4,189,2,0,0,medium,0
2179,0.21,0.82,4,207,5,0,0,high,0
2180,0.89,0.47,4,108,3,0,0,low,0
2181,0.2,0.72,6,224,4,0,0,medium,0
2182,0.99,0.81,5,180,3,1,0,medium,0
2183,0.26,0.85,6,152,4,0,0,medium,0
2184,0.22,0.53,4,244,2,0,0,medium,0
2185,0.79,0.84,3,176,3,0,0,low,0
2186,0.73,0.79,4,145,2,1,0,low,0
2187,0.83,0.54,3,149,3,0,0,low,0
2188,0.42,0.54,3,122,4,0,0,low,0
2189,0.18,0.8,2,110,5,0,0,low,0
2190,0.92,0.91,4,222,2,0,0,low,0
2191,0.87,0.52,3,237,3,0,0,low,0
2192,0.72,0.65,4,224,3,0,0,low,0
2193,0.64,0.58,5,115,5,0,0,low,0
2194,1,0.66,4,180,3,0,0,low,0
2195,0.83,0.65,4,162,3,0,0,low,0
2196,0.98,0.58,4,136,3,0,0,low,0
2197,0.7,0.87,3,260,2,0,0,low,0
2198,0.9,0.79,4,150,2,0,0,low,0
2199,0.55,0.99,4,248,3,0,0,low,0
2200,0.78,0.84,3,233,3,1,0,low,0
2201,0.89,0.53,5,272,3,0,0,low,0
2202,0.17,0.59,3,197,5,0,0,low,0
2203,0.14,0.64,5,164,5,0,0,low,0
2204,0.85,0.57,4,216,2,0,0,low,0
2205,0.84,0.79,4,266,3,1,0,low,0
2206,0.7,0.69,3,102,4,1,0,medium,0
2207,0.16,0.98,5,284,5,0,0,medium,0
2208,0.51,0.69,3,145,2,1,0,medium,0
2209,0.6,0.89,3,167,4,0,0,medium,0
2210,0.5,0.63,3,172,2,0,0,medium,0
2211,0.43,0.39,5,198,5,0,0,medium,0
2212,0.5,0.7,4,201,4,0,0,medium,0
2213,0.91,0.89,4,197,4,0,0,medium,0
2214,0.65,0.93,4,270,2,0,0,medium,0
2215,0.59,0.52,2,149,3,0,0,medium,0
2216,0.89,0.56,3,256,3,0,0,medium,0
2217,0.97,0.6,3,162,3,0,0,medium,0
2218,0.56,0.97,5,163,2,0,0,high,0
2219,0.76,0.93,3,266,3,1,0,low,0
2220,0.28,0.55,4,208,4,0,0,medium,0
2221,0.75,0.51,4,138,4,0,0,medium,0
2222,0.78,0.81,4,232,3,0,0,medium,0
2223,0.26,0.63,6,100,4,0,0,medium,0
2224,0.53,0.72,2,172,5,0,0,low,0
2225,0.25,0.41,3,133,6,1,0,low,0
2226,0.82,0.51,3,234,3,0,0,low,0
2227,0.71,0.57,2,183,4,0,0,low,0
2228,0.61,0.95,4,174,4,0,0,low,0
2229,0.89,0.68,3,175,2,0,0,low,0
2230,0.57,0.78,3,109,3,1,0,low,0
2231,0.93,0.8,4,248,3,0,0,low,0
2232,0.61,0.84,5,104,4,0,0,low,0
2233,0.56,0.62,3,154,2,0,0,low,0
2234,0.7,0.89,6,214,2,0,0,low,0
2235,0.9,0.64,4,209,4,0,0,low,0
2236,0.15,0.74,6,212,2,0,0,low,0
2237,0.39,0.36,3,168,3,1,0,low,0
2238,0.74,0.72,4,176,3,0,0,low,0
2239,0.7,0.61,4,163,4,1,0,low,0
2240,0.72,0.93,4,148,2,0,0,low,0
2241,0.61,0.97,3,137,3,0,0,low,0
2242,0.96,1,5,162,3,0,0,low,0
2243,0.7,0.59,4,216,3,0,0,low,0
2244,0.92,0.49,3,240,2,0,0,low,0
2245,0.72,0.56,4,176,2,0,0,medium,0
2246,0.53,0.75,6,192,6,0,0,medium,0
2247,0.67,0.85,3,160,4,0,0,medium,0
2248,0.78,0.8,4,194,2,1,0,medium,0
2249,0.53,0.75,4,239,2,1,0,medium,0
2250,0.9,0.48,4,204,3,0,0,medium,0
2251,0.16,0.9,5,258,3,0,0,medium,0
2252,0.62,0.38,3,257,3,0,0,medium,0
2253,0.62,0.98,4,137,3,0,0,medium,0
2254,0.22,0.52,6,175,4,0,0,medium,0
2255,0.91,0.82,3,183,3,0,0,medium,0
2256,0.87,0.74,4,190,4,0,0,medium,0
2257,0.95,0.69,3,225,2,0,0,high,0
2258,0.99,0.75,3,215,3,0,0,low,0
2259,0.99,0.57,3,176,4,1,0,medium,0
2260,0.77,0.99,4,153,3,1,0,medium,0
2261,0.75,0.68,3,150,2,1,0,medium,0
2262,0.83,0.54,4,259,5,0,0,medium,0
2263,0.61,0.39,3,99,2,0,0,low,0
2264,0.91,0.97,3,167,2,0,0,low,0
2265,0.47,0.64,3,192,3,0,0,low,0
2266,0.77,0.61,5,146,3,0,0,low,0
2267,0.55,0.51,3,190,3,0,0,low,0
2268,0.32,0.48,5,246,3,0,0,low,0
2269,0.96,0.67,6,190,3,0,0,low,0
2270,0.72,0.79,5,260,2,0,0,low,0
2271,0.8,0.9,4,136,3,0,0,low,0
2272,0.61,0.55,4,231,3,0,0,low,0
2273,0.97,0.88,3,204,2,0,0,low,0
2274,0.63,0.93,4,201,3,0,0,low,0
2275,0.92,0.92,3,159,3,0,0,low,0
2276,0.94,0.74,5,171,3,0,0,low,0
2277,0.79,0.72,6,240,4,0,0,low,0
2278,0.75,0.73,2,152,4,0,0,low,0
2279,0.78,0.99,3,151,3,1,0,low,0
2280,0.96,0.45,6,232,2,1,0,low,0
2281,0.65,0.68,4,128,5,0,0,low,0
2282,0.18,0.94,3,187,6,1,0,low,0
2283,0.94,0.51,3,160,2,0,0,low,0
2284,0.84,0.79,4,259,3,0,0,medium,0
2285,0.67,0.54,2,136,2,0,0,medium,0
2286,0.71,0.5,4,253,3,0,0,medium,0
2287,0.56,0.64,3,260,3,0,0,medium,0
2288,0.29,0.56,5,231,6,0,0,medium,0
2289,0.47,0.9,3,101,2,1,0,medium,0
2290,0.4,0.69,2,174,3,0,0,medium,0
2291,0.81,0.82,4,167,2,0,0,medium,0
2292,0.96,0.99,3,148,3,0,0,medium,0
2293,0.99,0.75,6,139,5,1,0,medium,0
2294,0.75,0.77,4,136,3,0,0,medium,0
2295,0.75,0.74,4,153,2,0,0,medium,0
2296,1,0.86,4,161,2,0,0,high,0
2297,0.52,0.53,2,163,2,0,0,low,0
2298,0.98,0.74,3,164,3,0,0,medium,0
2299,0.6,0.64,2,137,5,0,0,medium,0
2300,0.38,0.44,3,137,3,0,0,medium,0
2301,0.51,0.41,6,106,5,0,0,medium,0
2302,0.91,0.61,2,272,2,0,0,low,0
2303,0.56,0.62,5,238,3,0,0,low,0
2304,0.58,0.69,4,223,4,0,0,low,0
2305,0.51,0.53,3,201,2,0,0,low,0
2306,0.91,0.55,6,97,4,0,0,low,0
2307,0.8,0.98,2,232,6,1,0,low,0
2308,0.55,0.83,4,199,3,0,0,low,0
2309,0.62,0.53,3,141,3,0,0,low,0
2310,0.62,0.6,3,171,2,0,0,low,0
2311,0.87,0.58,4,212,3,0,0,low,0
2312,0.65,0.5,5,270,2,0,0,low,0
2313,0.51,0.64,3,267,2,0,0,low,0
2314,0.98,0.77,3,134,2,1,0,low,0
2315,0.13,0.43,4,165,5,0,0,low,0
2316,0.78,0.76,5,168,4,1,0,low,0
2317,0.6,0.98,3,262,2,0,0,low,0
2318,0.68,0.69,3,185,2,0,0,low,0
2319,0.55,0.84,3,237,3,0,0,low,0
2320,0.99,0.79,4,192,3,0,0,low,0
2321,0.92,0.68,5,236,2,0,0,low,0
2322,1,0.65,4,202,4,1,0,low,0
2323,0.77,0.93,4,171,2,0,0,medium,0
2324,0.86,0.7,5,160,3,0,0,medium,0
2325,0.89,0.84,2,252,3,0,0,medium,0
2326,0.58,0.55,5,206,3,0,0,medium,0
2327,0.56,0.66,3,212,2,0,0,medium,0
2328,0.38,0.64,3,111,3,0,0,medium,0
2329,0.62,0.64,3,240,2,0,0,medium,0
2330,0.66,0.77,2,171,2,0,0,medium,0
2331,0.3,0.44,3,129,2,0,0,medium,0
2332,0.82,0.83,3,271,2,0,0,medium,0
2333,0.96,0.68,4,162,2,0,0,medium,0
2334,0.66,0.95,3,191,3,0,0,medium,0
2335,0.79,0.5,5,176,3,0,0,high,0
2336,0.97,0.77,3,182,2,1,0,low,0
2337,0.59,0.65,3,226,3,0,0,medium,0
2338,0.57,0.48,4,161,3,0,0,medium,0
2339,0.64,0.53,4,163,3,0,0,medium,0
2340,0.14,0.51,5,173,4,0,0,medium,0
2341,0.48,0.55,3,228,2,0,0,low,0
2342,0.78,1,3,139,3,0,0,low,0
2343,0.96,0.62,5,128,5,0,0,low,0
2344,0.82,0.97,3,115,2,1,0,low,0
2345,0.94,0.9,5,191,4,0,0,low,0
2346,0.95,0.66,4,183,3,0,0,low,0
2347,0.59,0.43,3,173,3,0,0,low,0
2348,0.69,0.89,4,174,2,0,0,low,0
2349,0.74,0.72,3,213,3,0,0,low,0
2350,0.67,0.67,4,192,4,0,0,low,0
2351,0.83,0.52,3,167,2,1,0,low,0
2352,0.81,0.85,3,263,3,1,0,low,0
2353,0.54,0.73,2,100,3,0,0,low,0
2354,0.89,0.83,3,164,3,0,0,low,0
2355,0.79,0.74,5,172,2,0,0,low,0
2356,0.46,0.58,4,171,3,0,0,low,0
2357,0.99,0.93,4,236,3,0,0,low,0
2358,0.75,0.9,5,186,4,0,0,low,0
2359,0.93,0.82,4,175,3,0,0,low,0
2360,0.65,0.6,5,227,3,0,0,low,0
2361,0.19,0.63,4,142,6,0,0,low,0
2362,0.48,0.61,2,121,2,0,0,medium,0
2363,0.95,0.64,5,234,3,0,0,medium,0
2364,0.92,0.77,4,185,3,0,0,medium,0
2365,0.84,0.54,4,160,3,0,0,medium,0
2366,0.37,0.63,4,153,3,1,0,medium,0
2367,0.22,0.74,3,199,6,0,0,medium,0
2368,0.64,0.54,3,166,2,0,0,medium,0
2369,0.72,0.88,2,247,3,0,0,medium,0
2370,0.48,0.69,4,245,3,0,0,medium,0
2371,0.12,0.55,5,242,4,0,0,medium,0
2372,0.78,0.98,5,158,2,0,0,medium,0
2373,0.71,0.74,3,163,3,1,0,medium,0
2374,0.38,0.69,3,99,3,1,0,high,0
2375,0.57,0.85,4,164,3,0,0,low,0
2376,0.72,0.51,3,160,3,0,0,medium,0
2377,0.6,0.57,2,184,3,0,0,medium,0
2378,0.61,0.55,5,266,2,0,0,medium,0
2379,0.67,0.64,4,190,2,0,0,medium,0
2380,0.97,0.97,5,192,2,0,0,low,0
2381,0.22,0.6,3,205,6,1,0,low,0
2382,0.15,0.53,4,205,5,1,0,low,0
2383,0.6,0.6,3,258,3,0,0,low,0
2384,0.15,0.8,5,151,2,1,0,low,0
2385,0.5,0.81,3,148,2,0,0,low,0
2386,0.9,0.67,3,179,2,0,0,low,0
2387,0.84,0.51,6,141,2,1,0,low,0
2388,0.74,0.78,5,216,2,0,0,low,0
2389,0.72,0.51,3,235,2,0,0,low,0
2390,0.93,0.63,3,160,4,1,0,low,0
2391,0.54,0.69,3,141,4,0,0,low,0
2392,0.87,0.65,4,246,2,1,0,low,0
2393,0.19,0.98,5,226,4,1,0,low,0
2394,0.33,0.4,4,212,2,1,0,low,0
2395,0.94,0.93,4,220,3,0,0,low,0
2396,0.77,0.49,4,266,2,0,0,low,0
2397,0.48,0.82,3,183,2,0,0,low,0
2398,0.7,0.74,5,263,3,1,0,low,0
2399,0.54,0.93,4,161,4,1,0,low,0
2400,0.61,0.98,4,199,2,0,0,low,0
2401,0.97,0.4,4,258,4,1,0,medium,0
2402,0.6,0.85,3,209,2,1,0,medium,0
2403,0.93,0.84,5,135,3,0,0,medium,0
2404,0.48,0.69,4,222,2,0,0,medium,0
2405,0.16,0.76,5,192,3,0,0,medium,0
2406,0.18,0.75,3,250,3,0,0,medium,0
2407,0.84,0.75,3,187,3,1,0,medium,0
2408,0.69,0.63,4,217,3,0,0,medium,0
2409,0.22,0.88,4,213,3,1,0,medium,0
2410,0.83,0.52,4,273,3,0,0,medium,0
2411,0.58,0.5,2,132,3,0,0,medium,0
2412,0.61,0.62,4,140,3,1,0,medium,0
2413,0.67,0.5,4,173,2,1,0,high,0
2414,0.56,0.76,4,189,2,0,0,low,0
2415,0.74,0.74,3,156,3,0,0,medium,0
2416,0.92,0.97,4,238,5,1,0,medium,0
2417,0.81,0.68,5,230,2,0,0,medium,0
2418,0.48,0.49,4,242,2,1,0,medium,0
2419,0.73,0.72,4,197,3,0,0,low,0
2420,0.97,0.66,6,164,5,0,0,low,0
2421,0.15,0.51,6,248,5,0,0,low,0
2422,0.69,0.76,5,255,6,0,0,low,0
2423,0.61,0.68,5,225,4,0,0,low,0
2424,0.86,0.58,3,151,2,0,0,low,0
2425,0.55,0.88,4,252,3,0,0,low,0
2426,0.9,0.74,4,206,4,1,0,low,0
2427,0.65,0.4,2,141,2,0,0,low,0
2428,0.81,0.92,5,259,3,0,0,low,0
2429,0.65,0.86,5,250,3,0,0,low,0
2430,0.47,0.86,4,169,6,0,0,low,0
2431,0.93,0.53,3,200,3,1,0,low,0
2432,0.77,0.9,4,104,5,0,0,low,0
2433,0.87,0.82,6,176,3,0,0,low,0
2434,0.87,0.84,5,137,2,0,0,low,0
2435,0.65,0.75,2,151,3,0,0,low,0
2436,0.21,0.7,6,130,6,1,0,low,0
2437,0.75,0.59,4,199,2,0,0,low,0
2438,0.72,0.86,4,191,2,0,0,low,0
2439,0.88,0.63,3,273,3,1,0,low,0
2440,0.66,0.58,3,205,3,0,0,medium,0
2441,0.8,0.75,3,181,3,0,0,medium,0
2442,0.22,0.55,4,261,3,1,0,medium,0
2443,0.92,0.69,3,192,3,0,0,medium,0
2444,0.54,0.77,4,271,3,0,0,medium,0
2445,0.91,0.56,4,158,3,0,0,medium,0
2446,0.77,0.83,4,231,2,0,0,medium,0
2447,0.61,0.51,3,156,3,1,0,medium,0
2448,0.48,0.9,4,201,4,0,0,medium,0
2449,0.25,0.69,3,187,4,0,0,medium,0
2450,0.91,0.7,3,132,4,0,0,medium,0
2451,0.72,0.58,5,147,3,1,0,medium,0
2452,0.77,0.71,4,223,3,0,0,high,0
2453,0.41,0.4,2,194,2,0,0,low,0
2454,0.51,0.49,4,234,2,0,0,medium,0
2455,0.72,0.79,3,149,3,0,0,medium,0
2456,0.47,0.57,3,162,3,1,0,medium,0
2457,0.53,0.67,4,238,2,0,0,medium,0
2458,0.65,0.52,5,149,3,0,0,low,0
2459,0.18,0.75,4,170,5,0,0,low,0
2460,0.61,0.48,3,250,2,0,0,low,0
2461,0.86,0.72,4,167,2,0,0,low,0
2462,0.14,0.77,4,166,5,0,0,low,0
2463,0.63,0.8,3,205,2,0,0,low,0
2464,0.79,0.57,3,250,3,0,0,low,0
2465,0.78,0.97,4,142,3,0,0,low,0
2466,0.14,0.52,4,217,6,0,0,low,0
2467,0.85,0.54,3,139,3,0,0,low,0
2468,0.85,0.75,4,139,3,0,0,low,0
2469,0.91,0.76,5,152,3,0,0,low,0
2470,0.76,0.74,3,224,2,0,0,low,0
2471,0.62,0.72,5,180,3,0,0,low,0
2472,0.53,0.69,4,216,2,0,0,low,0
2473,0.97,0.63,3,133,3,0,0,low,0
2474,0.48,0.53,4,271,3,0,0,low,0
2475,0.5,0.55,4,148,3,1,0,low,0
2476,0.32,0.42,2,99,4,0,0,low,0
2477,0.58,0.77,4,196,2,1,0,low,0
2478,0.81,0.83,3,196,2,0,0,low,0
2479,0.48,0.84,4,228,3,0,0,medium,0
2480,0.96,0.88,4,165,2,0,0,medium,0
2481,0.56,0.9,3,235,2,0,0,medium,0
2482,0.63,0.96,4,167,2,0,0,medium,0
2483,0.21,0.5,5,255,5,0,0,medium,0
2484,0.94,0.78,3,184,3,1,0,medium,0
2485,0.94,0.89,4,239,3,0,0,medium,0
2486,0.96,0.54,3,153,2,0,0,medium,0
2487,0.49,0.5,4,187,5,1,0,medium,0
2488,0.82,0.68,2,285,2,0,0,medium,0
2489,0.6,0.5,3,274,3,0,0,medium,0
2490,0.76,0.5,3,156,3,1,0,medium,0
2491,0.69,0.64,5,265,2,1,0,high,0
2492,1,0.94,4,144,3,0,0,low,0
2493,0.62,0.66,4,143,3,0,0,medium,0
2494,0.4,0.99,4,214,6,1,0,medium,0
2495,0.94,0.91,3,163,3,0,0,medium,0
2496,0.76,0.84,4,236,4,0,0,medium,0
2497,0.58,0.69,3,146,4,0,0,low,0
2498,0.85,0.78,4,106,2,0,0,low,0
2499,0.45,0.52,2,105,3,0,0,low,0
2500,0.13,0.67,3,181,4,0,0,low,0
2501,0.24,0.5,5,174,4,0,0,low,0
2502,0.64,0.69,3,207,2,1,0,low,0
2503,0.63,0.61,6,118,2,0,0,low,0
2504,0.61,0.99,4,251,2,0,0,low,0
2505,0.71,0.99,2,136,3,0,0,low,0
2506,0.9,0.89,5,249,3,1,0,low,0
2507,0.17,0.76,4,171,5,0,0,low,0
2508,0.93,0.97,3,256,2,1,0,low,0
2509,0.83,0.89,5,141,3,1,0,low,0
2510,0.58,0.75,4,186,2,0,0,low,0
2511,0.76,0.5,3,258,3,0,0,low,0
2512,0.5,0.78,3,228,2,0,0,low,0
